Timestamp,Type,Duration_Mins
30-07-2026 10:52:59,Work,1
30-07-2026 10:53:59,Custom break,1
30-07-2026 10:57:05,Work,1
30-07-2026 10:58:05,Custom break,1
30-07-2026 11:37:34,Work,1
30-07-2026 11:38:34,Custom break,1
30-07-2026 12:10:23,Work,1
30-07-2026 12:11:23,Custom Break,1
